"areaid","areaname","welfare","welfare_chld"
3061126,"Arnimplatz",9.41,9.1
3061131,"Falkplatz",6.92,5.75
3061227,"Humannplatz",6.97,6.13
3061228,"Erich-Weinert-Straße",13.07,20.05
3061332,"Helmholtzplatz",8.42,7.02
3061429,"Greifswalder Straße",23.82,35.8
3061430,"Volkspark Prenzlauer Berg",37.89,34.93
3061434,"Anton-Saefkow-Park",10.58,8.5
3061435,"Conrad-Blenkle-Straße",16.62,24.89
3061441,"Eldenaer Straße",1.07,0.64
3071536,"Teutoburger Platz",6.52,6.98
3071537,"Kollwitzplatz",5.89,3.82
3071633,"Thälmannpark",18.75,19.77
3071638,"Winsstraße",7.13,6.37
3071639,"Bötzowstraße",6.86,4.88
4010101,"Jungfernheide",30.69,46.39
4010102,"Plötzensee",35.89,77
4010103,"Paul-Hertz-Siedlung",45.22,52.32
4020204,"Olympiagelände",0,0
4020205,"Siedlung Ruhleben",4.98,7.33
4020206,"Angerburger Allee",8.38,13.58
4020207,"Flatowallee",5.21,7.64
4020208,"Kranzallee",5.69,4.81
4020209,"Eichkamp",2.27,2.96
4020310,"Park Ruhwald",10.45,48.28
4020311,"Reichsstraße",7.9,9.49
4020312,"Branitzer Platz",7.1,7.51
4020313,"Königin-Elisabeth-Straße",11.9,19.64
4020314,"Messegelände",0,0
4030415,"Schloßgarten",21.79,34.06
4030416,"Klausenerplatz",19.22,26.51
4030417,"Schloßstraße",12.43,17.43
4030518,"Tegeler Weg",17,28.1
4030519,"Kaiserin-Augusta-Allee",18.67,33.19
4030620,"Alt-Lietzow",13.92,21.84
4030621,"Spreestadt",16.15,29.77
4030622,"Richard-Wagner-Straße",16.41,22.8
4030623,"Ernst-Reuter-Platz",17.31,24.87
4030724,"Lietzensee",10.83,13.25
4030725,"Amtsgerichtsplatz",10.29,17.08
4030726,"Droysenstraße",13.82,24.81
4030827,"Karl-August-Platz",14.6,22.58
4030828,"Savignyplatz",8.03,13.34
4030929,"Hindemithplatz",6.68,6.98
4030930,"George-Grosz-Platz",7.08,10.07
4030931,"Breitscheidplatz",11.33,20.21
4031032,"Halensee",10.11,14.61
4041133,"Güterbahnhof Grunewald",8.33,0
4041134,"Bismarckallee",6.95,7.6
4041135,"Hundekehle",3.64,2.47
4041136,"Hagenplatz",4.67,4.9
